Registro;Nombre;Referencia de Tramite;Equivalencia Terapéutica o Biosimilar;Titular;Estado del Registro;Resolución Inscríbase;Fecha Inscríbase;Ultima Renovación;Fecha Próxima renovación;Régimen;Vía Administración;Condición de Venta;Expende tipo establecimiento;Indicación;Fecha Próxima Renovación;Procesado
F-27812/23;CLONAZEPAM COMPRIMIDOS 0,5 mg;RF2052125;EQUIVALENTE TERAPÉUTICO;MDC HEALTH S.p.A.;Vigente;22650.0;12-09-2023;;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Retenida con Control de Existencia;;Epilepsia en lactantes, niños y adultos, en especial en ausencias tipicas (pequeño mal) y crisis tonicoclonicas (epilepsia) Epilepsia: clonazepam está indicado, principalmente como tratamiento complementario o en casos resistentes al tratamiento, en la mayoría de las formas de epilepsia, especialmente las crisis de ausencia, incluidas las crisis de ausencia atípicas el síndrome de Lennox-Gastaut y las crisis mioclónicas y atónicas. En lo que respecta a los espasmos infantiles (incluido el síndrome de West) y las crisis tónico-clónicas, solo está indicado como tratamiento complementario o en casos resistentes al tratamiento. clonazepam por vía i.v. ha demostrado ser eficaz para controlar diferentes tipos de estado de mal epiléptico. Trastorno de pánico clonazepam está indicado para tratar los trastornos de pánico (angustia), con o sin agorafobia.;12-09-2028;True
F-27825/23;CLONAZEPAM COMPRIMIDOS 2 mg;RF2047940;EQUIVALENTE TERAPÉUTICO;MDC HEALTH S.p.A.;Vigente;23019.0;14-09-2023;;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Retenida con Control de Existencia;;Clonazepam está indicado como fármaco de primera línea en las ausencias típicas (petit mal), las ausencias atípicas (síndrome de Lennox-Gastaut), las convulsiones mioclónicas y las convulsiones atónicas. Clonazepam está indicado como fármaco de tercera línea en las convulsiones tónico-clónicas (grand mal), las convulsiones parciales simples, las convulsiones parciales complejas y las convulsiones generalizadas tónico-clónicas secundarias. Clonazepam está indicado en las crisis de pánico (angustia), con o sin agorafobia;14-09-2028;True
F-26614/22;MILDA SOLUCIÓN BUCAL 10 mg/ 2 mL (MIDAZOLAM);RF1677399;EQUIVALENTE TERAPÉUTICO;EXELTIS CHILE S.p.A.;Vigente;2674.0;01-02-2022;;;Importado Terminado con Reacondicionamiento Local;Bucal;Receta Retenida con Control de Existencia;;Tratamiento de las crisis convulsivas agudas y prolongadas en lactantes, niños y adolescentes (de 3 meses a <18 años). MILDA solución bucal solo debe ser utilizado por padres / cuidadores donde el paciente haya sido diagnosticado con epilepsia. Para lactantes entre 3 y 6 meses de edad, el tratamiento debe realizarse en un hospital donde sea posible el monitoreo y se disponga de equipos de reanimación;01-02-2027;True
F-26611/22;MILDA SOLUCIÓN BUCAL 2,5 mg/ 0,5 mL (MIDAZOLAM);RF1677395;EQUIVALENTE TERAPÉUTICO;EXELTIS CHILE S.p.A.;Vigente;2671.0;01-02-2022;;;Importado Terminado con Reacondicionamiento Local;Bucal;Receta Retenida con Control de Existencia;;Tratamiento de las crisis convulsivas agudas y prolongadas en lactantes, niños y adolescentes (de 3 meses a <18 años). MILDA solución bucal solo debe ser utilizado por padres / cuidadores donde el paciente haya sido diagnosticado con epilepsia. Para lactantes entre 3 y 6 meses de edad, el tratamiento debe realizarse en un hospital donde sea posible el monitoreo y se disponga de equipos de reanimación;01-02-2027;True
F-26612/22;MILDA SOLUCIÓN BUCAL 5 mg/ 1 mL (MIDAZOLAM);RF1677397;EQUIVALENTE TERAPÉUTICO;EXELTIS CHILE S.p.A.;Vigente;2672.0;01-02-2022;;;Importado Terminado con Reacondicionamiento Local;Bucal;Receta Retenida con Control de Existencia;;Tratamiento de las crisis convulsivas agudas y prolongadas en lactantes, niños y adolescentes (de 3 meses a <18 años). MILDA solución bucal solo debe ser utilizado por padres / cuidadores donde el paciente haya sido diagnosticado con epilepsia. Para lactantes entre 3 y 6 meses de edad, el tratamiento debe realizarse en un hospital donde sea posible el monitoreo y se disponga de equipos de reanimación;01-02-2027;True
F-26613/22;MILDA SOLUCIÓN BUCAL 7,5 mg/ 1,5 mL (MIDAZOLAM);RF1677398;EQUIVALENTE TERAPÉUTICO;EXELTIS CHILE S.p.A.;Vigente;2673.0;01-02-2022;;;Importado Terminado con Reacondicionamiento Local;Bucal;Receta Retenida con Control de Existencia;;Tratamiento de las crisis convulsivas agudas y prolongadas en lactantes, niños y adolescentes (de 3 meses a <18 años). MILDA solución bucal solo debe ser utilizado por padres / cuidadores donde el paciente haya sido diagnosticado con epilepsia. Para lactantes entre 3 y 6 meses de edad, el tratamiento debe realizarse en un hospital donde sea posible el monitoreo y se disponga de equipos de reanimación;01-02-2027;True
N-577/21;SATIVEX SOLUCIÓN PARA PULVERIZACIÓN BUCAL (EXTRACTO DE HOJAS Y FLORES DE CANNABIS SATIVA L.);RF757409;;LABORATORIOS BIOPAS S.A.;Vigente;20943.0;06-10-2016;;;Importado Terminado;Oral;Receta Retenida con Control de Existencia;;Sativex está indicado como tratamiento para la mejoría de los síntomas en pacientes adultos con espasticidad moderada o grave debida a la esclerosis múltiple (EM) que no han respondido de forma adecuada a otros medicamentos antiespásticos y que han mostrado una mejoría clínicamente significativa de los síntomas relacionados con la espasticidad durante un período inicial de prueba del tratamiento.;05-10-2026;True
F-27355/23;CLORURO DE SODIO SOLUCIÓN INYECTABLE 0,9%;RF1914224;;FRESENIUS KABI CHILE LTDA.;Vigente;4533.0;27-02-2023;;;Importado Terminado con Reacondicionamiento Local;Infusion Intravenosa;Receta Simple;;En el tratamiento de la depleción del volumen extracelular, deshidratación y depleción de sodio debido a diuresis excesiva, gastroenteritis o restricción de sodio. Para tratar la alcalosis hipoclorémica. En el manejo de la alcalosis metabólica, durante y después de la cirugía. Para solubilizar y aplicar medicamentos por venoclisis. Para recuperar o mantener el balance hidroelectrolítico;27-02-2028;True
F-28404/24;ANTAXOL COMPRIMIDOS RECUBIERTOS 2,5 mg (APIXABÁN);RF2236964;;LABORATORIOS SAVAL S.A.;Vigente;27341.0;30-07-2024;;;Importado Semiterminado;Oral;Receta Simple;;Prevención del tromboembolismo venoso (TEV) en pacientes adultos sometidos a cirugía electiva de reemplazo de cadera o rodilla. Prevención del ictus (accidente cerebrovascular) y de la embolia sistémica en pacientes adultos con fibrilación auricular no valvular (FANV) con uno o más factores de riesgo tales como ictus (accidente cerebrovascular) o ataque isquémico transitorio (AIT) previos edad ·75 años hipertensión diabetes mellitus insuficiencia cardiaca sintomática (·Clase 2 escala NYHA). Tratamiento de la trombosis venosa profunda (TVP) y de la embolia pulmonar (EP), y prevención de las recurrencias de la TVP y de la EP en pacientes adultos.;30-07-2029;True
B-3036/24;POLYPTIN LIOFILIZADO PARA SOLUCIÓN INYECTABLE 4.500.000. U.I. (COLISTIMETATO SÓDICO);RF1941830;;LIBRA CHILE S.A.;Vigente;21535.0;19-06-2024;;;Importado Terminado con Reacondicionamiento Local;Intramuscular / Intravenosa;Receta Simple;;POLYPTIN está indicado para el tratamiento de infecciones agudas o crónicas producidas por gérmenes gram-negativos sensibles a colistin, que no han respondido a otros tratamientos. POLYPTIN ha demostrado ser clínicamente efectivo en el tratamiento de infecciones debidas a los siguientes organismos gram-negativos: Enterobacter aerogenes, Escherichia coli, Klebsiella pneumoniae y Pseudomona aeruginosa. POLYPTIN no está indicado para infecciones causadas por Proteus o Neisseria. POLYPTIN puede ser utilizado para iniciar la terapia en infecciones serias que se sospeche son causadas por microorganismos gram-negativos y en el tratamiento de infecciones causadas por bacilos patógenos gram-negativos susceptibles;19-06-2029;True
B-3052/24;VANCOMICINA POLVO PARA SOLUCIÓN INYECTABLE 1 g;RF2225351;;LABORATORIO BIOSANO S.A.;Vigente;32940.0;09-09-2024;;;Importado Terminado con Reacondicionamiento Local;PARENTERAL;Receta Simple;;Administración intravenosa La vancomicina está indicada en todos los grupos de edad para el tratamiento de las siguientes infecciones: • Infecciones complicadas de la piel y los tejidos blandos (IPPBc) • Infecciones en los huesos y las articulaciones • Neumonía adquirida en la comunidad (NAC) • Neumonía intrahospitalaria, incluyendo la neumonía asociada a la ventilación mecánica (NAV) • Endocarditis infecciosa Las formulaciones parenterales están autorizadas para las indicaciones siguientes: • Meningitis bacteriana aguda • Bacteriemia que se produce en asociación, o se sospecha que se asocia con, cualquiera de las infecciones anteriores La vancomicina también está indicada en todos los grupos de edad para la profilaxis antibacteriana perioperatoria en pacientes con alto riesgo de desarrollar endocarditis bacteriana cuando se someten a procedimientos quirúrgicos mayores. Se deben tener en cuenta las consideraciones oficiales sobre el uso adecuado de agente antibacterianos;09-09-2029;True
B-3047/24;VANCOMICINA POLVO PARA SOLUCIÓN INYECTABLE 500 mg;RF2164504;;LABORATORIO BIOSANO S.A.;Vigente;32200.0;03-09-2024;;;Importado Terminado con Reacondicionamiento Local;PARENTERAL;Receta Simple;;Administración intravenosa La vancomicina está indicada en todos los grupos de edad para el tratamiento de las siguientes infecciones: • Infecciones complicadas de la piel y los tejidos blandos (IPPBc) • Infecciones en los huesos y las articulaciones • Neumonía adquirida en la comunidad (NAC) • Neumonía intrahospitalaria, incluyendo la neumonía asociada a la ventilación mecánica (NAV) • Endocarditis infecciosa Las formulaciones parenterales están autorizadas para las indicaciones siguientes: • Meningitis bacteriana aguda • Bacteriemia que se produce en asociación, o se sospecha que se asocia con, cualquiera de las infecciones anteriores La vancomicina también está indicada en todos los grupos de edad para la profilaxis antibacteriana perioperatoria en pacientes con alto riesgo de desarrollar endocarditis bacteriana cuando se someten a procedimientos quirúrgicos mayores. Se deben tener en cuenta las consideraciones oficiales sobre el uso adecuado de agente antibacterianos;03-09-2029;True
F-1877/24;3-A OFTENO SOLUCIÓN OFTÁLMICA 0,1%;;EQUIVALENTE TERAPÉUTICO;GLOBAL MERCURY CHILE S.A.;Vigente;4368;28-07-1999;N/A;;Importado Terminado con Reacondicionamiento Local;OFTALMICA;Receta Simple;N/A;- Inhibición a la miosis operativa durante la cirugía de catarata. - inflamación post-operatoria en cirugía de catarata y otras intervenciones quirúrgicas. - profilaxis pre y post-operativa del edema macular cistoide asociado con extracción de lente;28-07-2029;True
F-27133/22;AARTAM COMPRIMIDOS RECUBIERTOS 500 mg;RF1868987;EQUIVALENTE TERAPÉUTICO;PINNACLE CHILE S.p.A.;Vigente;27945;07-11-2022;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Está indicado en la profilaxis de infecciones colónicas perioperatorias y en el tratamiento de infecciones bacterianas anaeróbicas, amebiasis y tricomoniasis.;07-11-2027;True
F-26539/21;AARTFENACIN COMPRIMIDOS RECUBIERTOS 120 mg;RF1672194;EQUIVALENTE TERAPÉUTICO;PINNACLE CHILE S.p.A.;Vigente;32992;13-12-2021;N/A;;Importado Terminado con Reacondicionamiento Local;Oral;Receta Simple;N/A;Rinitis Alérgica Estacional: Para el alivio de los síntomas asociados con rinitis alérgica estacional, en adultos y niños desde los 12 años de edad. Los síntomas efectivamente tratados son: estornudos, rinorrea, picazón naso - palatina y/o de garganta, picazón / lagrimeo / enrojecimiento de los ojos y congestión nasal. Urticaria Idiopática Crónica: Para el tratamiento de manifestaciones cutáneas sin complicaciones debidas aurticaria crónica idiopática en adultos y niños desde los 12 años de edad. Reduce significativamente el prurito y el número de ronchas.;13-12-2026;True
