Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
F-27812/23,CLONAZEPAM COMPRIMIDOS 0,,,,,,,,,,,,,,,,,,,,
F-27825/23,CLONAZEPAM COMPRIMIDOS 2 mg,RF2047940,EQUIVALENTE TERAPÉUTICO,MDC HEALTH S.p.A.,Vigente,23019,14-09-2023,,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Retenida con Control de Existencia,,Clonazepam está indicado como fármaco de primera línea en las ausencias típicas (petit mal),,,,,,,
F-26614/22,MILDA SOLUCIÓN BUCAL 10 mg/ 2 mL (MIDAZOLAM),RF1677399,EQUIVALENTE TERAPÉUTICO,EXELTIS CHILE S.p.A.,Vigente,2674,1/2/2022,,,Importado Terminado con Reacondicionamiento Local,Bucal,Receta Retenida con Control de Existencia,,Tratamiento de las crisis convulsivas agudas y prolongadas en lactantes,,,,,,,
F-26611/22,MILDA SOLUCIÓN BUCAL 2,,,,,,,,,,,,,,,,,,,,
F-26612/22,MILDA SOLUCIÓN BUCAL 5 mg/ 1 mL (MIDAZOLAM),RF1677397,EQUIVALENTE TERAPÉUTICO,EXELTIS CHILE S.p.A.,Vigente,2672,1/2/2022,,,Importado Terminado con Reacondicionamiento Local,Bucal,Receta Retenida con Control de Existencia,,Tratamiento de las crisis convulsivas agudas y prolongadas en lactantes,,,,,,,
F-26613/22,MILDA SOLUCIÓN BUCAL 7,,,,,,,,,,,,,,,,,,,,
N-577/21,SATIVEX SOLUCIÓN PARA PULVERIZACIÓN BUCAL (EXTRACTO DE HOJAS Y FLORES DE CANNABIS SATIVA L.),RF757409,,LABORATORIOS BIOPAS S.A.,Vigente,20943,6/10/2016,,,Importado Terminado,Oral,Receta Retenida con Control de Existencia,,Sativex está indicado como tratamiento para la mejoría de los síntomas en pacientes adultos con espasticidad moderada o grave debida a la esclerosis múltiple (EM) que no han respondido de forma adecuada a otros medicamentos antiespásticos y que han mostrado una mejoría clínicamente significativa de los síntomas relacionados con la espasticidad durante un período inicial de prueba del tratamiento.,5/10/2026,TRUE,,,,,
F-27355/23,CLORURO DE SODIO SOLUCIÓN INYECTABLE 0,,,,,,,,,,,,,,,,,,,,
F-28404/24,ANTAXOL COMPRIMIDOS RECUBIERTOS 2,,,,,,,,,,,,,,,,,,,,
B-3036/24,POLYPTIN LIOFILIZADO PARA SOLUCIÓN INYECTABLE 4.500.000. U.I. (COLISTIMETATO SÓDICO),RF1941830,,LIBRA CHILE S.A.,Vigente,21535,19-06-2024,,,Importado Terminado con Reacondicionamiento Local,Intramuscular / Intravenosa,Receta Simple,,POLYPTIN está indicado para el tratamiento de infecciones agudas o crónicas producidas por gérmenes gram-negativos sensibles a colistin,,,,,,,
